Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-33,1930,White/CFD,,Squad 5 (10/3/1930 - 1/17/1941),Squad 11 (3/6/1946 - 3/12/1946),Squad 11 (12/14/1946 - 4/12/1947),Squad 11 (9/23/1947 - 2/10/1949),,,,First apparatus for Squad 11,
C-34,1940,Mack,,Squad 1 (12/30/1940 - 2/7/1949),Squad 11 (2/10/1949 - 8/23/1952),,,,,,,
C-35,1940,Mack,,Squad 2 (1/9/1941 - 8/26/1952),Squad 11 (8/26/1952? - 5/5/1954?),,,,,,,
C-36,1940,Mack,,Squad 3 (1/13/1941 - 3/25/1949),High Pressure 6 (9/21/1961 - 9/28/1962),,,,,,High Pressure 6 OOS 9/28/1962,
C-37,1940,Mack,,Squad 4 (1/15/1941 - 11/29/1952),,,,,,,,Squad 4 (Bill Friedrich)
C-38,1940,Mack,,Squad 5 (1/17/1941 - ?),Squad 13 (4/1/1949 - 4/6/1953),,,,,,First apparatus for Squad 13,
C-39,1940,Mack,,Squad 6 (1/22/1941 - 8/22/1952),Squad 4 (11/29/1952 - 5/21/1954),High Pressure 2 (10/11/1954 - 7/1956),High Pressure 8 (6/10/1959 - 5/11/1963),,,,HP8 OOS 5/11/1963,
C-40,1940,Mack,,Squad 7 (1/23/1941 - 8/23/1952),,,,,,,,
C-41,1940,Mack,,Squad 8 (1/27/1941 - 5/21/1954),High Pressure 7 (7/11/1955 - 4/27/1962),,,,,,High Pressure 7 reorganized 7/11/1955,
C-42,1940,Mack,,Squad 9 (2/3/1941 - 7/22/1954),,,,,,,,
C-43,1940,Mack,,Squad 10 (1/22/1941 - 6/17/1954),,,,,,,,
C-44,1948,Autocar,,Squad 12 (1/31/1949 - 7/9/1964),,,,,,,,
C-45,1948,Autocar,,Squad 1 (2/7/1949 - 4/27/1954),Squad 13 (6/3/1954 - 8/19/1966),,,,,,Squad 13 OOS 8/19/1966,Squad 1 (Chicago Tribune)
C-46,1949,Mack,,,Squad 6 (12/22/1955 - 11/30/1961),,Squad 6 (12/3/1962 - 8/18/1966),,,,,
C-47,1949,Mack,,Squad 3 (3/25/1949 - 5/5/1954),Spare Squad,Squad 6 (11/30/1961 - 12/3/1962),Squad 4 (8/25/1963 - 1966 or 1967),Squad 5 (3/30/1949 - 7/22/1954),,,*Conflict,
C-48,1952,Autocar,,Squad 2 (8/26/1952 - 4/14/1966),,,,,,,,Squad 2 (J. McCullough)
C-49,1952,Autocar,,Squad 6 (8/22/1952 - 10/15/1955),,,,,,,,
C-50,1952,Autocar,,Squad 7 (8/23/1952 - 5/16/1965),Squad 2 (4/14/1966 - 12/5/1966),Salvage Unit 1 (2 - 8 - 1) (12/5/1966 - 2/2/1967),Salvage Squad 2 (2 - 8 - 2) (2/2/1967 - 7/26/1967),,,,Squad 7 (1949-era squads) OOS 5/16/1965; Squad 2 (1949-era squads) OOS 12/5/1966; Salvage 1 renumbered to Salvage 2--unit remained with Engine 5,Squad 7 (chicagofd.org)
C-51,1954,Autocar,,Squad 1 (4/27/1954 - 2/2/1967),Salvage Squad 1 (9/30/1968 - 5/1/1969),,,,,,Salvage Squad 1 (1968-era) OOS 5/1/1969; Manpower used to organize FMS-4,Squad 1 (Steve Redick) Squad 1 (Bill Friedrich) Squad 1 (Bill Friedrich)
C-52,1954,Autocar,,Squad 11 (5/5/1954 - 7/26/1967) ,Flying Manpower Squad 5 (7/1/1969 - 11/24/1969),,,,,,,Squad 11 (Steve Redick) Squad 11 (Steve Redick) Squad 11 (Bill Friedrich)
C-53,1954,Autocar,,Squad 3 (5/5/1954 - 1966?),,,,,,,,
C-54,1954,Autocar,,Squad 4 (5/21/1954 - 8/25/1963),Squad 3 (1966? - 4/17/1967),,,,,,Rig totaled in accident in Washington Park & never replaced; Squad 3 OOS 4/17/1967,Squad 4 (Steve Redick)
C-55,1954,Autocar,,Squad 8 (5/21/1954 - 2/19/1967),,,,,,,,Squad 8 (Bill Friedrich)
C-56,1954,Autocar,,Squad 10 (6/17/1954 - 7/26/1967),Squad 11 (7/26/1967 - 3/7/1968),,,,,,"Completion photos (on Bill Friedrich’s site) taken 6/10/1954, when rig was still unassigned",Pre-assignment (Bill Friedrich) Squad 10 (Steve Redick) 
C-57,1954,Autocar,,Squad 9 (7/22/1954 - 9/30/1968),Salvage Squad 7 (9/30/1968 - 5/15/1969),Flying Manpower Squad 3 (5/16/1969 - 7/24/1969),,,,,Squad 9 OOS 9/30/1968; manpower used to organize Salvage Squad 7 at E129’s house; first rig for SS7; first rig for FMS-3,Squad 9 (Steve Redick)
C-58,1954,Autocar,,Squad 5 (7/22/1954 - 2/7/1968),,,,,,,Squad 5 OOS 2/7/1968,Squad 5 (Steve Redick)
C-59,,,,,,,,,,,,
C-60,1979,Chevrolet Cheyenne,,Ambulance 7,,,,,,,Ambulances switched from G- to C- series numbering in 1979,
C-61,,,,,,,,,,,,
C-62,1979,Chevrolet Cheyenne Camper Special,,Ambulance 14,,,,,,,Dual Mars 888s & siren speaker on roof bar,
C-63,,,,,,,,,,,,
C-64,,,,,,,,,,,,
C-65,,,,,,,,,,,,
C-66,,,,,,,,,,,,
C-67,,,,,,,,,,,,
C-68,,,,,,,,,,,,
C-69,,,,,,,,,,,,
C-70,,,,,,,,,,,,
C-71,,,,,,,,,,,,
C-72,,,,,,,,,,,,
C-73,,,,,,,,,,,,
C-74,,,,,,,,,,,,
C-75,,,,,,,,,,,,
C-76,,,,,,,,,,,,
C-77,,,,,,,,,,,,
C-78,,,,,,,,,,,,
C-79,,,,,,,,,,,,
C-80,,,,,,,,,,,,
C-81,,,,,,,,,,,,
C-82,,,,,,,,,,,,
C-83,,,,,,,,,,,,
C-84,,,,,,,,,,,,
C-85,,,,,,,,,,,,
C-86,,,,,,,,,,,,
C-87,,,,,,,,,,,,
C-88,,,,,,,,,,,,
C-89,,,,,,,,,,,,
C-90,,,,,,,,,,,,
C-91,,,,,,,,,,,,
C-92,,,,,,,,,,,,
C-93,,,,,,,,,,,,
C-94,1980,Chevrolet Cheyenne 4x4/,,Ambulance 17,,,,,,,,Ambulance 17 (Bill Friedrich)
C-95,,,,,,,,,,,,
C-96,,,,,,,,,,,,
C-97,,,,,,,,,,,,
C-98,1980,Chevrolet Cheyenne 4x4/,,Ambulance 5 (1980 - at least 7/1985),,,,,,,,
C-99,1980,Chevrolet Cheyenne 4x4/,,Ambulance 9,,,,,,,,
C-100,,,,,,,,,,,,
C-101,,,,,,,,,,,,
C-102,,,,,,,,,,,,
C-103,,,,,,,,,,,,
C-104,1980,Chevrolet Cheyenne/Modular,,Ambulance 28,,,,,,,O’Hare Airport; unknown when numbering jumped (C-100s to C-700s),
C-710,1983,Chevrolet Scottsdale/Modular,,,Spare ambulance,,,,,,Aerodynic lightbar; red lights at all four corners of ambulance box,
C-711,,,,,,,,,,,,
C-712,,,,,,,,,,,,
C-713,,,,,,,,,,,,
C-714,,,,,,,,,,,,
C-715,1973,Chevrolet Scottsdale,,,Air Mask 6 - 4 - 6,,,,,,,
C-716,,,,,,,,,,,,
C-717,1985,Ford F-350/Wheeled Coach,,,2 - 7 - 4 command van,Spare command van,,,,,Seen both with ambulance decals (EKG) and without (all white); possibly also 2-7-2,Command van (Smith Bros) Command van (Bill Friedrich)
C-718,1985,Ford F-350/Wheeled Coach,,,6 - 3 - 1 Mobile Foam Unit (? - 7/2006?),,,,,,Ambulance body shortened to accommodate foam equipment; sold at auction 1/29/08,6-3-1 (Gordon J. Nord) 6-3-1 (Bill Friedrich) 6-3-1 (Bill Friedrich)
C-719,,,,,,,,,,,,
C-720,,,,,,,,,,,One of these became 4-6-10 OFI; ,
C-721,1985,Ford F-350/Wheeled Coach,,,Spare ambulance,,,,,,Possibly also used as a spare command van,Spare ambulance (Smith Bros)
C-722,1985,Ford F-350/Wheeled Coach,,,Mass Casualty Unit 8 - 8 - 2?,,,,,,"One of these 1985 Ford ambulances became Mass Casualty Unit 8-8-2, in service until 4/9/2008; Found in junkyard in Racine, WI 9/2013",
C-723,,,,,,,,,,,,
C-724,1985,Ford F-350/Wheeled Coach,,,,,,,,,Painted white over red; Sold at auction 4/24/2004,
C-725,,,,,,,,,,,,
C-726,,,,,,,,,,,,
C-727,,,,,,,,,,,,
C-728,,,,,,,,,,,,
C-729,,,,,,,,,,,,
C-730,,,,,,,,,,,,
C-731,,,,,,,,,,,,
C-732,1986,Ford E-350/Wheeled Coach,,Spare ambulance,,,,,,,Spare by 1993,
C-733,,,,,,,,,,,,
C-734,,,,,,,,,,,,
C-735,,,,,,,,,,,,
C-736,,,,,,,,,,,,
