Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-117,1949,FWD (tractor),,Truck Co. 7 (9/30/1949 - 6/10/1970),Truck Co. 24 (6/19/1970 - 6/7/1972),Truck Co. 57 (6/5/1973 - 11/8/1973),Truck Co. 13 (12/6/1973 - 9/30/1974),,,,,,Remained lettered as Truck 24 while at Truck 13,
E-118,1949,FWD (tractor),,Truck Co. 4 (10/14/1949 - 1/28/1967),Truck Co. 14 (1/4/1969 - 6/7/1969),Truck Co. 36 (8/28/1969 - 5/18/1970),,,,,,,,
E-119,1949,FWD (tractor),,Truck Co. 14 (10/18/1949 - 4/11/1965),Truck Co. 14 (6/30/1965 - 6/13/1967),Truck Co. 12 (9/10/1967 - 12/6/1967),,,,,,,,Truck 14 (Bill Friedrich)
E-120,1949,FWD (tractor),,Truck Co. 50 (10/20/1949 - 3/8/1972),,,,,,,,,,
E-121,1950,Available (tractor),,Truck Co. 28 (4/27/1950 - 6/14/1957),,Truck Co. 57 (8/12/1962 - 1/20/1966),Truck Co. 26 (3/4/1967 - 3/12/1967),Truck Co. 14 (6/13/1967 - 1/4/1969),Truck Co. 14 (6/7/1969 - 4/3/1970),,,,,Truck 28 (chicagofd.org) E-121 or E-122 (Steve Redick)
E-122,1950,Available (tractor),,Truck Co. 17 (11/8/1950 - 11/29/1961),Truck Co. 54 (2/1/1962 - 8/29/1963),Truck Co. 52 (7/13/1967 - 12/17/1968),Truck Co. 24 (11/19/1969 - 5/26/1970),,,,,,,
E-123,1954,Pirsch (tractor),,Truck Co. 2 (5/28/1954 - 11/16/1968),Truck Co. 15 (11/16/1968 - 1/10/1969),Truck Co. 10 (1/10/1969 - 2/20/1970),Truck Co. 19 (6/1/1970 - 1/25/1971),Truck Co. 47 (9/29/1971 - 6/15/1972),Truck Co. 35 (3/13/1974 - 7/8/1974),,,,,Truck 2 (Steve Redick)
E-124,1954,Pirsch (tractor),,Truck Co. 10 (6/12/1954 - 7/28/1959),Truck Co. 5 (7/30/1959 - 6/3/1966),Truck Co. 46 (3/11/1968 - 7/19/1970),Truck Co. 44 (5/6/1966 - 10/17/1967),Truck Co. 41 (5/2/1972 - 8/23/1976),,,,,,Truck 41 (chicagofd.org) Truck 41 (firemann57)
E-125,1954,Pirsch (tractor),,Truck Co. 27 (6/29/1954 - 3/21/1975),,,,,,,,,,Truck 27 (firemann57) Truck 27 (firemann57)
E-126,1954,Pirsch (tractor),,Truck Co. 20 (7/9/1954 - 5/27/1970),,,Truck Co. 35 (12/9/1972 - 3/13/1974),,,,,,Truck Co. 21 may have had one of these Pirsch’s around 1970 - it was a unit retrofitted with an Aurora Borealis light and hood repainted to “Chicago Fire Dept.”,Truck 35 (firemann57) Truck 35 (mbernero)
