Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-192,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 1 (3/22/1973 - 1/15/1975),Truck Co. 55 (6/1975 - 4/18/1990),,,,,,,,,Truck 55 (Midwest Fire Depts) Truck 55 (Bill Friedrich)
E-193,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 3 (1/30/1974 - 4/24/1975),Truck Co. 49 (5/9/1975 - 6/14/1975),Truck Co. 27 (6/14/1975 - 3/17/1986),Truck Co. 53 (5/4/1987 - 10/25/1993),Spare truck,,,,,Found in junkyard early 2015,Truck 27 (Midwest Fire Depts) Truck 53 (Bill Friedrich) Truck 53 (Bill Friedrich) E-193 in junkyard (Kyle Svoboda)
E-194,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 4 (2/18/1974 - 8/4/1988),Truck Co. 31 (9/28/1991 - 2/7/2002),,,,,,,,Rebuilt in 1994?; one of two rebuilt ALF ladders,Truck 4 (firemann57) Truck 4 (firemann57) Truck 4 (Bill Friedrich) Truck Co. 31 (Bill Friedrich)
E-195,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 21 (3/22/1974 - 3/17/1986),Truck Co. 9 (8/27/1991 - 5/16/2002),,,,,,,,Rebuilt in 1991; one of two rebuilt ALF ladders; had white stripe added; “We’re There When You Need Us” slogan added to doors,Truck 21 (Bill Friedrich) Truck 9 (Bill Friedrich) Truck 9 (Bill Friedrich) Truck 9 (Smith Bros)
E-196,1974,Seagrave 100’ rear mount,,Truck Co. 7 (4/24/1974 - 5/1/1986),Truck Co. 22 (2/17/1993 - 1/16/2002),,,,,,,,Rebuilt in 1992?; one of 22 Seagrave 1969-1982 ladders rebuilt between 1991 & 1994,Truck 7 (Bill Friedrich) Truck 7 (Bill Friedrich) Truck 22 (Bill Friedrich) Truck 22 (Smith Bros)
E-197,1974,Hendrickson/Pierce/Morita Lift 135’ rear mount aerial,,Truck Co. 1 (1/15/1975 - 2/6/1977),Truck Co. 1 (6/23/1977 - 1987),,,,,,,,"Had elevator alongside aerial; firefighters rode back step “belted in”; originally marked for Truck 2, but didn’t fit in quarters; spent several weeks parked outside fire building with aerial ladder up until representative from Japan could come and fix it; removed from service in 1987 since it didn’t comply with safety regulations",Truck 1 (Midwest Fire Depts) Truck 1 (Bill Friedrich) Truck 1 (columind99)
E-198,1974,Seagrave 100’ rear-mount aerial,,Truck Co. 44 (1/20/1975 - 4/3/1986),Truck Co. 16 (9/27/1993 - 3/14/2002),,,,,,,,Rebuilt 1993,Truck 16 (Gordon J. Nord)
E-199,1974,Seagrave 100’ rear-mount aerial,,Truck Co. 56 (2/12/1975 - 4/3/1995),,,,,,,,,,Truck 56 (Bill Friedrich)
E-200,1974,Seagrave 100’ rear-mount aerial,,Truck Co. 28 (3/13/1975 - 1/9/1980),Truck Co. 44 (4/23/1993 - 1/10/2002),,,,,,,,Still shown on roster as at Truck 28 as of October 1982; rebuilt in 1992,Truck 28 (Bill Friedrich)
E-201,1974,Seagrave 100’ rear-mount aerial,,Truck Co. 52 (4/10/1975 - 1/31/1994),Spare truck,,,,,,,,"Shown with Truck 3 markings with shop #, unsure if temporary assignment",Truck 52 (columind99) Truck 52 (Bill Friedrich) Truck 3 spare (Bill Friedrich)
E-202,1975,American LaFrance 100’ rear mount aerial,,Truck Co. 3 (4/24/1975 - 1/19/1985),Truck Co. 1 (1987 - 4/28/1988),,,,,,,,,Truck 3 (Bill Friedrich)
E-203,1975,American LaFrance 100’ rear mount aerial,,Truck Co. 2 (5/5/1975 - 5/19/1988),,,,,,,,,,Truck 2 (Midwest Fire Depts)
E-204,1975,Seagrave 100’ rear-mount aerial,,Truck Co. 57 (6/12/1975 - 10/7/1993),Spare truck,,,,,,,,Spotted at U-Haul facility at Cicero & Montrose in 2011; for sale at same facility in March 2014,
E-205,1975,Seagrave 100’ rear-mount aerial,,Truck Co. 33 (5/29/1975 - 7/15/1993),,,,,,,,,Note: Truck 55 had one of this era Seagrave in the mid to late ‘90s ,Truck 33 (chicagofd.org) Truck 33 (chicagofd.org)
E-206,1975,Seagrave 100’ rear-mount aerial,,Truck Co. 19 (10/24/1975 - 5/5/1988),Truck Co. 38 (9/9/1993 - 2/8/2002),,,,,,,,Had “Hook & Ladder Co. No.” markings at Truck 19; rebuilt in 1993,Truck 19 (Bill Friedrich) Truck 19 (Gordon J. Nord) Truck 19 (firemann57) Truck 38 (Bill Friedrich)
E-207,1975,Seagrave 100’ rear-mount aerial,,Truck Co. 50 (3/11/1976 - 5/11/1992),Truck Co. 22 (2/5/1993 - 2/17/1993),Truck Co. 51 (9/2/1994 - 12/4/2000),Truck Co. 4 (1/11/2001 - early 2003?),,,,,,Rebuilt in 1994 (white stripe added),Truck 50 (Midwest Fire Depts) Truck 50 (Bill Friedrich) Truck 50 (Bill Friedrich) Truck 4 (Smith Bros)
E-208,1976,Seagrave 100’ rear-mount aerial,,Truck Co. 13 (3/8/1976 - 7/22/1991),Truck Co. 52 (1/31/1994 - 11/22/2000),Truck Co. 51 (12/4/2000 - 10/4/2005),Spare truck,Truck Co. 51 (2007 - 9/21/2007),,,,,Rebuilt in 1993 (no bell while at Truck 52); Used at least until 6/18/2005 (probably last unit in service with bell); lost bell sometime between 4/14/2005 and 10/4/2005; used again (minus bell) in 2007-2008 after wreck destroyed new Truck 51 (Dedicated to FF William F. Grant),Truck 13 (Bill Friedrich) Truck 13 (Bill Friedrich) Truck 51 (Gordon J. Nord) Truck 52 (Smith Bros) Truck 51 (Gordon J. Nord) Truck 51 (Smith Bros)
E-209,1976,American LaFrance 100’ rear mount aerial,,Truck Co. 45 (5/21/1976 - 8/2/2000),,,,,,,,,Minor rehab work done in early 1990s,Truck 45 (fireman57) Truck 45 (firemann57) Truck 45 (Bill Friedrich) Truck 45 (Gordon J. Nord) Truck 45 (Steve Redick) Truck 45 (columind99)
E-210,1976,American LaFrance 100’ rear mount aerial,,Truck Co. 36 (5/4/1976 - 5/20/1988),Spare truck,,,,,,,,"“Hook & Ladder Co.” markings and two-headed spotlight on driver’s side; found in junkyard in Racine, WI 9/2013; used as Truck Co. 46 (one of 3) in Backdraft",Truck 36 (Bill Friedrich) Truck 36 (columind99) Truck 36 (Gordon J. Nord) Spare truck (Smith Bros)
E-211,1976,IHC Cargostar (tractor),,Truck Co. 41 (8/23/1976 - 1/11/1989),,,,,,,,,,Truck 41 (Midwest Fire Depts) Truck 41 (Bill Friedrich)
E-212,1976,IHC Cargostar (tractor),,Truck Co. 14 (9/24/1976 - 1/18/1986),Truck Co. 32 (5/3/1986 - 2/6/1988),Truck Co. 54 (7/8/1988 - 3/8/1989),,,,,,,,Truck 14 (Bill Friedrich)
E-213,1976,IHC Cargostar (tractor),,Truck Co. 42 (11/8/1976 - 5/26/1981),Truck Co. 32 (8/6/1981 - 5/3/1986),,,,,,,,,Truck 42 (columind99) Truck 42 (Bill Friedrich) Truck 32 (Bill Friedrich) Truck 32 (Bill Friedrich)
E-214,1976,IHC Cargostar (tractor),,Truck Co. 53 (12/9/1976 - 5/4/1987),Truck Co. 32 (2/6/1988 - 9/8/1988),,,,,,,,,Truck 53 (Bill Friedrich) Truck 53 (columind99)
E-215,1976,IHC Cargostar (tractor),,Truck Co. 1 (2/6/1977 - 6/23/1977),Truck Co. 54 (7/7/1977 - 7/8/1988),Truck Co. 32 (9/8/1988 - 11/16/1988),,,,,,,Marked as Truck 54 during Truck 1 tenure ; Tractor became transport unit for museum steamer; roof rotators replaced with red 1992-era Spartan rear beacons; sold at auction 7/20/2009,Truck 54 (Bill Friedrich) Museum transport (Smith Bros)
E-216,1977,Seagrave 100’ rear mount,,Truck Co. 8 (4/26/1977 - 11/18/1994),Truck Co. 59 (6/15/1997 - 10/19/1997),,,,,,,,,Truck 8 (Smith Bros) Truck 8 (Bill Friedrich) Truck 8 (Bill Friedrich)
E-217,1977,Seagrave 100’ rear mount,,Truck Co. 59 (5/5/1977 - 4/29/1996),Spare truck (4/29/1996? - at least 5/1/1999),,,,,,,,"For sale at Erickson Trucks N Parts (Racine, WI) in July 2012",Truck 59 (Bill Friedrich) Spare truck (Gordon J. Nord)
E-218,1977,Seagrave 100’ rear mount,,Truck Co. 47 (5/5/1977 - 1/10/1989),Truck Co. 56 (5/19/1993 - 4/3/1996),Truck Co. 47 (5/3/1996 - 12/22/2000),,,,,,,Rebuilt in 1993,Truck 47 (Midwest Fire Depts) Truck 47/Engine 59 accident (chicagofd.org) Truck 56 (Bill Friedrich)
E-219,1977,Seagrave 100’ rear mount,,Truck Co. 25 (6/21/1977 - 9/6/1995),,,,,,,,,,Truck 25 (Bill Friedrich)
E-220,1977,Seagrave 100’ rear mount,,Truck Co. 40 (7/5/1977 - 1/8/1993),,,,,,,,,,Truck 40 (Midwest Fire Depts) Truck 40 (Bill Friedrich)
E-221,1977,Seagrave 100’ rear mount,,Truck Co. 56 (2/22/1978 - 5/19/1993),Truck Co. 20 (4/28/1994 - 2/11/2003),Spare truck,,,,,,,Refurbished in 1993/1994; Sold at auction 2/5/2008,
E-222,1977,Seagrave 100’ rear mount,,Truck Co. 38 (3/23/1978 - 9/9/1993),,,,,,,,,,Truck 38 (Midwest Fire Depts) Truck 38 (Bill Friedrich)
E-223,1978,Seagrave 100’ rear mount,,Truck Co. 17 (4/7/1978 - 11/20/1991),Truck Co. 29 (8/13/1993 - at least 1996),,,,,,,,,Truck 17 (Midwest Fire Depts) Truck 17 (Bill Friedrich) Truck 29 (Bill Friedrich)
E-224,1978,Seagrave 100’ rear mount,,Truck Co. 16 (12/20/1978 - 9/27/1993),,,,,,,,,,Truck 16 (Bill Friedrich) Truck 16 (columind99)
E-225,1978,Seagrave 100’ rear mount,,Truck Co. 31 (12/14/1978 - 9/28/1991),Truck Co. 17 (11/20/1991 - 6/8/1996),Truck Co. 59 (10/19/1997 - 2/16/1999),,,,,,,,Truck 17 (Smith Bros)
E-226,1978,Seagrave 100’ rear mount,,Truck Co. 62 (12/6/1978 - 11/16/1986),Truck Co. 27 (11/15/1986 - 8/19/1993),Truck Co. 8 (11/18/1994 - 3/19/2002),Spare truck,,,,,,Rebuilt 1994; as spare had no green light on front; Sold at auction 1/9/2007; Kept Truck 62 numbering until 3/10/1988?,Truck 62 (Bill Friedrich) Truck 27 (Gordon J. Nord) Truck 27 (Steve Redick) Truck 8 (Bill Friedrich) Spare truck (Gordon J. Nord)
E-227,1978,Seagrave 100’ rear mount,,Truck Co. 60 (12/15/1978 - 8/2/2000),Truck Co. 62,Spare truck,,,,,,,In service until at least 2003,Spare truck (Smith Bros)
E-228,1978,Seagrave 100’ rear mount,,Truck Co. 29 (11/15/1979 - 10/14/1992),,,,,,,,,,Truck 29 (Bill Friedrich)
E-229,1978,Ford C8000/3D/Pirsch 100’ rear mount,,Truck Co. 24 (8/29/1979 - 5/9/1991),,,,,,,,,"Assembled by 3D Metals in 1979, using Pirsch 100’ aerial salvaged from E-171 (1968 Pirsch)",Truck 24 (Midwest Fire Depts) Truck 24 (Gordon J. Nord) Truck 24 (Bill Friedrich) Truck 24 (Steve Redick)
E-230,1980,Seagrave 100’ rear mount,,Truck Co. 35 (7/23/1981 - 12/30/1993),Truck Co. 25 (9/6/1995 - ?),Spare truck,,,,,,,Rebuilt 1995; front axle removed & scrapped & sold at auction 4/24/2004,Truck 35 (Bill Friedrich) Truck 25 (Bill Friedrich) Spare truck (columind99)
E-231,1980,Seagrave 100’ rear mount,,Truck Co. 37 (1/7/1981 - 7/5/1991),Truck Co. 62 (12/31/1992 - 6/26/2002),Spare truck,,,,,,,Rebuilt 1992; White stripe added; Sold at auction 3/4/2006,Truck 62 (Gordon J. Nord) Truck 62 (Bill Friedrich) Truck 62 (columind99)
E-232,1980,Seagrave 100’ rear mount,,Truck Co. 20 (11/25/1980 - 4/28/1994),,,,,,,,,,
E-233,1980,Seagrave 100’ rear mount,,Truck Co. 10 (12/9/1980 - 3/19/1986),Truck Co. 7 (5/1/1986 - 1991),Truck Co. 48 (12/30/1992 - ?),Spare truck (? - 2012),,,,,,Rebuilt 1992; white stripe added; used at Truck 48 until at least 2/13/1997; Seen at fleet as late as 11/2011; sold at auction 6/29/2012,Truck 10 (Midwest Fire Depts) Truck 7 (MIdwest Fire Depts) Truck 7 (Bill Friedrich) Truck 48 (Bill Friedrich) Spare truck (Gordon J. Nord)
E-234,1982,Seagrave 100’ rear mount,,Truck Co. 23 (4/8/1982 - 3/27/1986),Truck Co. 44 (4/3/1986 - 4/23/1993),Truck Co. 58 (4/3/1995 - 1/8/2002),Spare truck (2002 - 2012),,,,,,"Originally had Skybolt beacons; rebuilt 1994; white stripe added; sold at auction 7/20/2012; ended up at 3033 E. 106th St., Adelman’s metal recycling",Truck 23 (mbernero) Truck 23 (Midwest Fire Depts) Truck 23 (Bill Friedrich) Truck 58 (Smith Bros) Spare truck (Gordon J. Nord)
E-235,1982,Seagrave 100’ rear mount,,Truck Co. 26 (2/24/1982 - 5/9/1983),Truck Co. 18 (at least 10/1983),Truck Co. 18 (5/12/1995 - 2/26/2003),Spare truck (2003 - ?),,,,,,"Rebuilt & white stripe added; still in service with Mars 888, 12/30/2013",Truck 18 (Bill Friedrich) Truck 18 (post-rebuild) (Bill Friedrich)
E-236,1982,Seagrave 100’ rear mount,,Truck Co. 30 (3/29/1982 - 12/1/1982),Truck Co. 51 (12/7/1982 - 9/2/1994),Truck Co. 17 (6/8/1996 - 12/10/2002),,,,,,,Refurbished 1995; White stripe added; Sold at auction 3/4/2006,Truck 51 (Bill Friedrich)
E-237,1982,Seagrave 100’ rear mount,,Truck Co. 48 (3/24/1982 - 12/30/1992),Truck Co. 35 (12/30/1993 - 1/9/2002),Spare truck (2002 - 2006?),,,,,,,Rebuilt in 1993; White stripe added; sold at auction 3/4/2006,Truck 48 (Bill Friedrich) Truck 35 (Smith Bros)
E-238,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 12 (7/2/1982 - 1/1/1992),Truck Co. 50 (5/11/1992 - 8/17/2000),Spare truck (2000? - 2012?),,,,,,,"Truck 12 OOS 1/1/1992; white stripe added (while spare?); still in service as spare 6/2011; sitting in auction yard, July 2012",Truck 12 (mbernero) Truck 12 (Bill Friedrich) Truck 50 (Bill Friedrich) Truck 50 (Smith Bros)
E-239,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 34 (12/10/1982 - 11/2/1988),Truck Co. 54 (3/8/1989 - 12/26/1996),Truck Co. 11 (9/1999 - 8/8/2000),Truck Co. 7 (11/17/2001 - 1/24/2002),,,,,,One of these Hendrickson trucks was set on fire and destroyed in The Dark Knight,Possibly E-239 pre-markings (mbernero) Truck 34 (Bill Friedrich) Truck 54 (Midwest Fire Depts)
E-240,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 30 (12/1/1982 - 5/22/2000),,,,,,,,,First seen 10/1982 in fire prevention parade with red bulb in Mars 888,Truck 30 (mbernero) Truck 30 (Smith Bros)
E-241,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 11 (10/15/1982 - 7/30/1999),,,,,,,,,Had signature (3-2-1) painted on front bumper; Mars 888 also mounted on front bumper with siren (siren placement moved a couple times),Truck 11 (mbernero) Truck 11 (Bill Friedrich) Truck 11 (Gordon J. Nord) Truck 11 (Gordon J. Nord) Truck 11 (Gordon J. Nord)
E-242,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 42 (12/8/1982 - 2002?),Spare truck (2002? - present),,,,,,,,"White stripe & slogan added; still in service, 12/30/2013; apparently still kept as spare in December 2014, by that point the oldest spare truck in the fleet",Truck 42 (Gordon J. Nord) Truck 42 (Bill Friedrich) Truck 42 (Smith Bros) Spare truck (Smith Bros)
E-243,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 49 (12/14/1982 - 6/18/1999),,,,,,,,,,Truck 49 (Bill Friedrich)
E-244,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 26 (5/9/1983 - 5/30/1995),,,,,,,,,,Truck 26 (Bill Friedrich) Truck 26 (Smith Bros)
E-245,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 39,Truck Co. 28 (1/9/1986 - 5/27/1995),Truck Co. 38,Truck Co. 49 (6/18/1999 - ?),Spare truck (? - present),,,,,No white stripe added; still stored as spare in fleet yard as of 8/20/2014 (with Mars 888),Truck 39 (Bill Friedrich) Truck 28 (Gordon J. Nord) Truck 49 (Smith Bros) Spare truck (Smith Bros)
E-246,1982,Hendrickson/E-One 110’ rear mount,,Truck Co. 61 (5/12/1983 - 6/3/2002),,,,,,,,,,Truck 61 (Bill Friedrich) Truck 61 (Gordon J. Nord) Truck 61 (Smith Bros)
E-247,1984,Pemfab/E-One 135’ rear mount,,Truck Co. 3 (Aerial Tower 3) (1/19/1985 - 6/15/1995),,,,,,,,,Known as Aerial Tower 3 starting 3/1/1990 (as it had a pre-piped waterway - the only other being AT1); Only one ordered; destroyed in accident with a Brown’s Chicken restaurant; still at shops 2/27/1999,Truck 3 (columind99) Truck 3 (Midwest Fire Depts) Truck 3 crash (chicagofd.org)
E-248,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 39 (11/21/1985 - 9/13/1996),Tower Ladder 54 (12/26/1996 - 11/30/2005),Spare tower ladder (2005 - present),,,,,,,All 1985 towers originally had “Truck Co.” markings; multi-color skull & crossbones on side white stripe; white stripe added; has white “Tower Ladder” markings; still in service 6/3/2015,Tower Ladder 39 (Bill Friedrich) Tower Ladder 54 (Gordon J. Nord) Spare tower ladder (Smith Bros) Spare tower ladder (Karl Klotz)
E-249,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 14 (1/18/1986? - 1/28/1997?),,,,,,,,,"Unconfirmed, but likely",Tower Ladder 14 (Bill Friedrich) Tower Ladder 14 (Smith Bros)
E-250,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 21 (3/17/1986 - 5/29/2003?),Spare tower ladder (2003? - present),,,,,,,,No white stripe added; Has “Truck Co.” markings; Checkerboard front bumper (painted over by 2015); first seen as spare 1/22/2004; still in service 10/6/2015,Tower Ladder 21 (Bill Friedrich) Spare tower ladder (Smith Bros) Spare tower ladder (Bill Friedrich) Spare tower ladder (Gordon J. Nord)
E-251,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 23 (3/27/1986 - 7/18/2001),Spare tower ladder (2001? - present),,,,,,,,Forward & back slashes on front bumper; no stripe added; still in service 2/9/2016,Tower Ladder 23 (Gordon J. Nord) Spare tower ladder (Gordon J. Nord)
E-252,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 27 (3/17/1986 - 11/15/1986),Tower Ladder 62 (11/16/1986 - 12/31/1992),Tower Ladder 37 (3/17/1993 - 1/17/2003),Spare tower ladder (2003? - present),,,,,,White stripe added; Has “Truck Co.” markings; City Flag & US Flag on front bumper; still in service 5/7/2016 with Mars 888 light; siren replacement added next to right beacon by April 2016,Tower Ladder 62 (Bill Friedrich) Tower Ladder 37 (Gordon J. Nord) Spare tower ladder (Josh Boyajian) Spare tower ladder (Eric Haak)
E-253,1985,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 10 (3/19/1986 - 10/25/1996),,,,,,,,,Used as parts for other 1985 E-Ones; had forward and back slashes on front bumper,Tower Ladder 10 (columind99) Tower Ladder 10 (Gordon J. Nord) Tower Ladder 10 (Bill Friedrich)
E-254,1988,Federal/E-One 110’ rear mount,,Truck Co. 2 (5/19/1988 - 7/29/2002),Spare truck,,,,,,,,,Truck 2 (columind99) Spare truck (Smith Bros)
E-255,1988,Federal/E-One 110’ rear mount,,Truck Co. 19 (5/5/1988 - 7/24/2002),Spare truck (2002 - present),,,,,,,,Still in service 7/19/2015; no stripe added,Truck 19 (Gordon J. Nord) Spare truck (Josh Boyajian) Spare truck (Gordon J. Nord)
E-256,1988,Federal/E-One 110’ rear mount,,Truck Co. 36 (5/20/1988 - 8/7/2002),Spare truck,,,,,,,,Originally had chrome front wheels; white stripe added; still in service 11/26/2012,Truck 36 (mbernero) Truck 36 (Bill Friedrich) Truck 36 (Smith Bros)
E-257,1988,Federal/E-One Hurricane 135’ rear mount,,Truck Co. 1 (Aerial Tower 1) (4/28/1988 - 2006),Spare truck (designated for Aerial Tower 1) (2006 - present),,,,,,,,Known as Aerial Tower 1 starting 3/1/1990; white stripe added; stuck in construction trench at Congress & Wabash on 6/15/2012; still in service 12/20/2013,Truck 1 (Midwest Fire Depts) Truck 1 (Smith Bros) Aerial Tower 1 (Gordon J. Nord) Spare Truck (Drew Gresik) Stuck (Dom Najolia)
E-258,1985,Ford/Pirsch 100’ rear mount,,Truck Co. 4 (8/4/1988 - 1/1996),,,,,,,,,Pirsch mounted 1966 Pirsch aerial (from Mack C) on 1985 Ford chassis in 1988,Truck 4 (Gordon J. Nord) Truck 4 (Smith Bros) Truck 4 (Bill Friedrich)
E-259,1988,Ford/Pierce rear mount,,Truck Co. 32 (11/16/1988 - 4/16/1996),,,, ,,,,,,Truck 32 (Bill Friedrich) Truck 32 (Smith Bros)
E-260,1985,Ford/Pirsch 100’ rear mount,,Truck Co. 47 (1/10/1989 - 4/20/1996),,,,,,,,,Pirsch mounted 1966 Pirsch aerial (from Mack C) on 1985 Ford chassis in 1988,Truck 47 (Smith Bros)
E-261,1985,Ford/Pirsch 100’ rear mount,,Truck Co. 41,Spare squad (? - at least fall/winter 2000),,,,,,,,Pirsch mounted 1966 Pirsch aerial (from Mack C) on 1985 Ford chassis in 1988; ladder removed but “Truck Co” lettering remained while spare squad,Truck 41 (Bill Friedrich) Truck 41 (columind99) Spare squad (Bill Friedrich) Spare squad (Smith Bros) Quite possibly the retired E-261 (Kyle Svoboda)
E-262,1985,Pirsch 110’ rear mount aerial,,2 - 8 - 7A Fire Academy Truck (1/12/1989 - present),,,,,,,,,Pirsch mounted 1966 Pirsch aerial (from Mack C) on 1985 Pirsch chassis in 1988; all amber warning lights except roof beacons; still used as the spare academy truck as of 9/2014; kept at warehouse on Roosevelt Road; sometimes seen with “Truck 65” designation taped in windows,Academy Truck (Karl Klotz) Academy Truck (Smith Bros) Academy Truck (chicagofd.org)
E-263,1988,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 63 (1988 - 1996?),Tower Ladder 63R (1996? - ?),,,,,,,,Stored outside at O’Hare burn pit as of early 2014 in poor condition; sold at auction 8/29/2014; Code 3 Collectibles model replica (as T63R),Tower Ladder 63 (Smith Bros)
E-264,1988,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 5 (11/4/1988 - 5/28/2001),Tower Ladder 23 (2001? - 2006?),Spare tower ladder (? - present),Tower Ladder 34 (12/2015 - 3/2016),,,,,,Had black wheels near end of service as Tower Ladder 23 (2005); still in service 12/18/2015; renumbered for TL34 for funeral of Dan Capuano (and probably remained there),Tower Ladder 5 (Smith Bros) Tower Ladder 5 (Gordon J. Nord) Tower Ladder 5 (Gordon J. Nord) Tower Ladder 23 (Bill Friedrich) Spare tower ladder (Smith Bros)
E-265,1988,Federal/E-One 95’ rear mount tower ladder,,Tower Ladder 34 (11/2/1988 - 12/5/2002),Spare tower ladder,Tower Ladder 34 (2010? - 12/2015),,,,,,,Re-assigned to Tower Ladder 34 after accident wrecked their Pierce Dash; dedicated to FF Corey Ankum; retrofitted with LED spotlights; blown engine and OOS by December 2015,Tower Ladder 34 (Bill Friedrich) Tower Ladder 34 (Gordon J. Nord) Tower Ladder 34 (Josh Boyajian) Spare tower ladder (Smith Bros)
E-266,1993,Seagrave 100’ rear mount aerial,,Truck Co. 33 (7/15/1993 - 8/30/2002),Spare truck (2002? - present),,,,,,,,Spare by 10/19/2005; Retained Aerodynic lightbars & no LEDs or Mars 888 added to front; still in service 12/21/2015; rear beacons replaced with 2003-era Spartan (amber) and 1992-era Spartan (red),Spare truck (columind99) Spare truck (Smith Bros)
E-267,1993,Seagrave 100’ rear mount aerial,,Truck Co. 27 (8/19/1993 - 8/2/2002),Spare truck (2002? - present),,,,,,,,"Spare by 2003; has “ALS Truck” markings on cab and “Paramedic Equipped Truck” markings on compartments; still in service with Aerodynic light bars and no LEDs or Mars888, 7/19/2015",Truck 27 (Smith Bros) Spare truck (Gordon J. Nord)
E-268,1993,Seagrave 100’ rear mount aerial,,Truck Co. 40 (1/8/1993 - 2002),Spare truck (2002? - present),,,,,,,,"Spare by 10/19/2005; sometimes used as Truck 94 in “Chicago Fire” TV show; in service 11/23/2013, with ground ladder from E-234; still in service 6/3/2015",Truck 40 (Bill Friedrich) Truck 40 (columind99) Spare truck (Gordon J. Nord)
E-269,1993,Seagrave 100’ rear mount aerial,,Truck Co. 57 (10/7/1993 - 2002),Truck Co. 20 (2/11/2003 - 2006?),Spare truck,,,,,,,Used as Truck 81 for “Chicago Fire” TV show; “bullet-ridden” compartment door removed from this or E-268 and put on E-274 (paint jobs didn’t match); sold at auction 8/15/2014,Truck 57 (Bill Friedrich) Truck 20 (Gordon J. Nord) Spare truck (Gordon J. Nord) Marked for TV show (Smith Bros)
E-270,1993,Seagrave 100’ rear mount aerial,,Truck Co. 53 (10/29/1993 - 2002?),Spare truck,Truck Co. 12 (? - at least 11/23/2006),Spare truck (2006? - present),,,,,,Spare by 10/19/2005; still in service 8/20/2014,Truck 53 (Bill Friedrich) Truck 12 (Gordon J. Nord) Spare truck (Gordon J. Nord)
E-271,1993,Seagrave 100’ rear mount aerial,,Truck Co. 15 (10/29/1993 - 6/1/2002),Spare truck,,,,,,,,Right rear accident damage; sold at auction 9/2012,Truck 15 (Bill Friedrich) Spare truck (Gordon J. Nord)
E-272,1995,Seagrave 100’ rear mount aerial,,Truck Co. 28 (5/27/1995 - 1/30/2002),Truck Co. 18 (2/26/2003 - 8/31/2007),Truck Co. 51 (9/21/2007 - 2/2011),,,,,,,,Truck 28 (Smith Bros) Truck 18 (Gordon J. Nord) Truck 51 (Gordon J. Nord) Truck 51 (Erik Haak)
E-273,1995,Seagrave 100’ rear mount aerial,,Truck Co. 26 (5/30/1995 - 1/29/2002),,,,,,,,,Became G-539 in 2004,Truck 26 (Gordon J. Nord) Truck 26 (Bill Friedrich)
E-274,1995,Seagrave 100’ rear mount aerial,,Truck Co. 56 (4/3/1996 - 10/2011),Spare truck (2011 - present),,,,,,,,"Originally slated for Truck 47, but sent to Truck 56 due to door height; by 2012 serious body rust; used as Truck 81 for “Chicago Fire” TV show in season 2; still in service 4/7/2016, with apparently less body rust",Truck 17 (Smith Bros) Truck 56 (Bill Friedrich) Truck 56 (Gordon J. Nord) Spare truck (Niko Stefani)
E-275,1996,Seagrave 100’ rear mount aerial,,Truck Co. 7 (4/16/1996 - 11/14/2001),Truck Co. 31 (6/5/2002 - 2/2011),Spare truck (2011 - present),,,,,,,Still in service with aerodynic lightbars on 1/13/2016; red/green lights below turn signals replaced with LEDs; spent several months with Truck 20 in late 2014,Truck 7 (Gordon J. Nord) Truck 31 (Gordon J. Nord)
E-276,1996,Seagrave 100’ rear mount aerial,,Truck Co. 32 (4/16/1996 - 2002?),Truck Co. 61 (6/3/2002 - 2/2012?),Spare truck (2012 - present),,,,,,,"Still in service, with Mars 888, 1/5/2014",Truck 32 (Bill Friedrich) Truck 61 (Gordon J. Nord)
E-277,1996,Seagrave 100’ rear mount aerial,,Truck Co. 41 (5/1/1996 - 3/14/2002),Truck Co. 62 (6/26/2002 - 2/2011),Spare truck (2/2011 - present),,,,,,,"Still in service, 3/10/2014",Truck 41 (Bill Friedrich) Truck 41 (Gordon J. Nord) Truck 62 (Gordon J. Nord)
