Shop #,Year,Make/Model,Original Assignment,Second Assignment,Notes,Image links
B-,1979?,Chevrolet Suburban,Battalion 21,,,Battalion 21 (Bill Friedrich)
A-,1976?,Ford LTD,2 - 2 - 6 Deputy District Chief 6,,,2-2-6 (Bill Friedrich)
A-,1976?,Ford LTD,Battalion 24,,,Battalion 24 (Bill Friedrich)
B-,1980?,Chevrolet Suburban,Battalion 3,,,Battalion 3 (Bill Friedrich)
A-,1976?,Ford LTD,2 - 2 - 2 Deputy District Chief 2,,,2-2-2 (Bill Friedrich)
B-,1980?,Chevrolet Suburban,4 - 4 - 6 EMS Supervisor?,,,4-4-6 (Bill Friedrich)
B-,1975?,Dodge Monaco station wagon,2 - 2 - 8 Deputy District Chief 8,,,2-2-8 (Bill Friedrich)
B- ,1981?,Chevrolet Suburban,4 - 5 - 1 EMS Field Chief District 1,,,4-5-1 (Bill Friedrich)
A-,1977?,Ford LTD,Battalion 13,,,Battalion 13 (Bill Friedrich)
B-,1979?,Chevrolet Suburban,Battalion 20,,,Battalion 20 (Bill Friedrich)
B- ,1981?,Chevrolet Suburban,4 - 4 - 4 EMS Supervisor?,,,4-4-4 (Bill Friedrich)
A-,1977?,Ford LTD,2 - 1 - 5 Deputy Fire Commissioner,,,2-1-5 (Bill Friedrich)
A-,1990?,Chevrolet Caprice,4 - 9 - 2 Photo Unit,,,4-9-2 (Bill Friedrich)
,1997?,GMC Jimmy,2 - 9 - 12,,,2-9-12 (Bill Friedrich)
,1997?,GMC Jimmy,6 - 3 - 0,,,6-3-0 (Bill Friedrich)
B-,2000,Ford Explorer,Battalion 1,,,Battalion 1 (Bill Friedrich)
A-,1989?,Chevrolet Caprice,Battalion 6,,,Battalion 6 (Bill Friedrich)
A-,1992?,Chevrolet Caprice,Battalion 6,,,Battalion 6 (Bill Friedrich)
A-,1984?,Ford LTD Crown Victoria,Battalion 6,,,Battalion 6 (Bill Friedrich)
B-,1981?,Chevrolet Suburban,Battalion 7,,,Battalion 7 (Bill Friedrich)
A-,1984?,Ford LTD Crown Victoria,Battalion 7,,,Battalion 7 (Bill Friedrich)
A-,1992?,Chevrolet Caprice,Battalion 7,,,Battalion 7 (Bill Friedrich)
A-,1977?,Ford LTD,Battalion 7,,,Battalion 7 (Bill Friedrich)
A-,1996?,Ford Crown Victoria,Battalion 7,,,Battalion 7 (Bill Friedrich)
A-,1994?,Chevrolet Caprice,Battalion 8,,,Battalion 8 (Bill Friedrich)
AVF-,2003,Ford Explorer,2 - 9 - 13 Midway Safety Officer,,,2-9-13 (Bill Friedrich)
AVF-,2006?,Ford F-350/Braun,Ambulance 59,,,Ambulance 59 (Bill Friedrich)
G-,1992?,Oshkosh,6 - 5 - 5,,,6-5-5 (Bill Friedrich)
G-,,Oshkosh,6 - 5 - 5,,,6-5-5 (Bill Friedrich)
G-,,Oshkosh,6 - 5 - 8,,,6-5-8 (Bill Friedrich)
C-,1988?,Ford E-350/Wheeled Coach,Ambulance 19,,,Ambulance 19 (Bill Friedrich)
C-,1998?,Ford E-350/McCoy Miller,Ambulance 19,,,Ambulance 19 (Bill Friedrich)
C-,1980?,Chevrolet Cheyenne 4x4/,Ambulance 25,,,Ambulance 25 (Bill Friedrich)
C-,1977?,Chevrolet Cheyenne/,Ambulance 32,,,Ambulance 32 (Bill Friedrich)
,,,,,,Truck 21 (columind99)
,,,,,,7-2-1 (columind99) 7-2-1 (firemann57) 7-2-1 (mbernero)
,,,,,,Truck 38 (columind99)
,,,,,,6-4-2 (columind99)
,,,,,,5-6-3 (chicagofd.org)
,1971,Cadillac/Miller-Meteor,Ambulance 16,,,Ambulance 16 (columind99)
,,,,,,7-7-4 (Bill Friedrich)
,,,,,,7-5-7 (Bill Friedrich) 7-5-7 (Bill Friedrich)
,,,,,,7-2-3 (Bill Friedrich)
,,,,,,7-1-8 (Bill Friedrich)
,,,,,,4-2-6 (Bill Friedrich)
,,,,,,7-4-1 (Bill Friedrich)
,,,,,,Crash Truck (Bill Friedrich)
,,,,,,7-6-5 (Bill Friedrich)
,,,,,,7-5-2 (Bill Friedrich)
,,,,,,7-6-3 (Bill Friedrich)
,,,,,,4-1-7 (Bill Friedrich)
,,,,,,7-5-1N (Bill Friedrich)
,,,,,,7-4-1 (Bill Friedrich)
,,,,,,7-3-5 (Bill Friedrich)
,,,,,,7-6-5 (Bill Friedrich)
,,,,,,7-4-4 (Bill Friedrich)
,,,,,,7-3-1 (Bill Friedrich)
,,,,,,7-3-4 (Bill Friedrich)
,,,,,,Jeep (Bill Friedrich)
,,,,,,Shops lowboy (Bill Friedrich)
,,,,,,7-4-4 (Bill Friedrich)
,,,,,,2-9-9 (Gordon J. Nord)
,,,,,,2-9-8 (Gordon J. Nord)
,,,,,,4-7-6 (firemann57)
,,,,,,6-5-2 (firemann57) 6-5-2 (firemann57)
,,,,,,6-5-9 (firemann57) 6-5-9 (firemann57)
,,,,,,Ambulance 10 (firemann57)
,,,,,,Battalion 10 (firemann57)
,,,,,,Ambulance 19 (firemann57) Ambulance 19 (firemann57)
,,,,,,Ambulance 31 (firemann57)
,,,,,,Battalion 17 (firemann57)
,,,,,,Battalion 29 (firemann57)
,,,,,Possibly D-343 or D-344,6-2-3 (firemann57) 6-2-3 (firemann57)
,,,,,,Ambulance 18 (firemann57) Ambulance 18 (firemann57)
,,,,,,4-9-2 (firemann57)
,,,,,,Battalion 1 (firemann57)
,,,,,,Engine 83 (firemann57)
,,,,,,7-2-3 (firemann57)
,,,,,,Fuel truck (firemann57)
,,,,,,7-1-3 (firemann57)
,,,,,,Snorkel Squad 1A (firemann57)
,,,,,,Truck 26 (firemann57)
,,,,,,Truck 58 (firemann57)
,,,,,,7-5-5 (firemann57)
,,,,,,Ambulance 12 (firemann57)
,,,,,,Ambulance 40 (firemann57)
,1974,Chevrolet Cheyenne/REV Coach,,,,Ambulance 10 (columind99)
,,,,,,4-0-4 (Niko Stefani)
,,,,,,Wrecked 2-1-5 (Chicago Sun Times)
,1979?,Chevrolet/Pierce,,,,1-5-3? (Terry Spirek)
,,,,,,Destroyed Engine 98 (Terry Spirek)
,,,,,,Destroyed Engine 53 (Terry Spirek)
,,,,,,Damaged engine (Terry Spirek)
,,,,,,4-7-4 (mbernero)
,1982,Ford C/Progress,7 - 2 - 2,,,7-2-2 (mbernero)
,,,,,,2-1-? (mbernero)
,,,,,,4-9-3 (mbernero)
,,,,,,Buggy (mbernero)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
